"block","classes_enumerated","rounding_interval_lower","rounding_interval_upper","rounding_interval_width","rounding_consistent","max_printed_difference","max_package_difference"
"additive_dispersion_l2",1,86068.0577770242,86068.0585,0.000722975804819725,TRUE,0.000277024184470065,0
"additive_dispersion_l2",2,80588.6525,80588.6527136764,0.000213676394196227,TRUE,0.00100000000384171,0
"additive_dispersion_l2",3,76340.3098504376,76340.3105,0.000649562396574765,TRUE,0.000350437592715025,0
"additive_dispersion_l2",4,73878.9515869808,73878.9524717429,0.000884762077475898,TRUE,8.69808282004669e-05,0
"additive_dispersion_l2",5,73142.1545236331,73142.155,0.000476366942166351,TRUE,0.00102363305632025,0
"additive_dispersion_l2",6,72437.111,72437.1114602853,0.000460285271401517,TRUE,0.00103971472708508,0
"additive_dispersion_l2",7,72022.493,72022.4933356589,0.000335658871335909,TRUE,0.00116434112715069,0
"additive_dispersion_l2",8,71683.3239569642,71683.3243335897,0.000376625481294468,TRUE,0.000456964204204269,0
"single_level_l1",1,81198.1421385121,81198.1425,0.00036148790968582,TRUE,0.00063851207960397,0
"single_level_l1",2,71599.1305,71599.131,0.00050000000919681,TRUE,0.00099999998928979,0
"single_level_l1",3,68139.573,68139.5735,0.00050000000919681,TRUE,0.00099999998928979,0
"single_level_l1",4,63735.0955,63735.0960329325,0.000532932455826085,TRUE,0.000467067548015621,0
"single_level_l1",5,59721.4155,59721.4158234809,0.000323480860970449,TRUE,0.000676519142871257,0
"single_level_l1",6,59058.3196292127,59058.3203908727,0.000761660019634292,TRUE,0.000129212690808345,0
"single_level_l1",7,58476.0965,58476.0969273528,0.000427352810220327,TRUE,0.00100000000384171,0
"single_level_l1",8,58130.4475256564,58130.4482254929,0.000699836542480625,TRUE,0.000274507066933438,0
"cross_level_fixed_l1",1,64758.3917770242,64758.3925,0.000722975819371641,TRUE,0.000277024184470065,0
"cross_level_fixed_l1",2,64406.8775,64406.8780751643,0.000575164318433963,TRUE,0.000424835685407743,0
"cross_level_fixed_l1",3,64031.2663733044,64031.2665,0.000126695580547675,TRUE,0.00087330442329403,0
"cross_level_fixed_l1",4,63724.7996714445,63724.8003100025,0.000638557939964812,TRUE,0.000189997517736629,0
"cross_level_fixed_l1",5,63509.3635,63509.3638773943,0.000377394339011516,TRUE,0.000622605664830189,0
"cross_level_fixed_l1",6,63355.5315,63355.5322677248,0.000767724792240188,TRUE,0.000232275211601518,0
"cross_level_fixed_l1",7,63245.014012178,63245.0145,0.000487821977003478,TRUE,0.000512178026838228,0
"cross_level_fixed_l1",8,63166.103,63166.1035,0.000500000001920853,TRUE,0.000999999996565748,0
