id	g	profile	group_class	c1	c2	c3	c4
1	1	1	1	1	3	2	2
2	1	1	1	1	2	3	1
3	1	2	1	2	2	1	3
4	1	1	1	1	3	1	2
5	1	1	1	1	3	1	1
6	1	1	1	1	3	1	1
7	1	2	1	3	2	3	3
8	1	2	1	2	2	3	1
9	2	1	1	2	2	1	1
10	2	2	1	3	1	3	2
11	2	1	1	1	3	3	1
12	2	2	1	3	2	3	3
13	2	1	1	1	3	1	1
14	2	1	1	2	3	1	2
15	2	2	1	3	1	2	3
16	2	1	1	1	2	1	1
17	3	2	2	3	3	2	2
18	3	2	2	3	1	3	3
19	3	2	2	3	2	2	2
20	3	2	2	2	1	1	3
21	3	2	2	3	2	2	2
22	3	2	2	1	3	1	2
23	3	2	2	3	2	3	3
24	3	2	2	2	1	3	3
25	4	2	2	1	3	3	2
26	4	2	2	2	2	3	3
27	4	2	2	3	1	3	3
28	4	1	2	1	3	1	1
29	4	2	2	2	3	2	2
30	4	1	2	2	3	1	1
31	4	2	2	3	1	3	3
32	4	2	2	3	2	2	2
33	5	2	2	3	2	2	2
34	5	1	2	2	3	2	2
35	5	1	2	1	3	1	1
36	5	1	2	1	3	1	1
37	5	2	2	3	1	3	1
38	5	2	2	3	3	2	3
39	5	2	2	3	2	3	2
40	5	2	2	3	2	2	3
41	6	2	2	3	1	2	2
42	6	2	2	2	2	2	2
43	6	2	2	3	1	3	3
44	6	2	2	2	3	1	1
45	6	1	2	2	1	1	1
46	6	2	2	3	1	3	3
47	6	2	2	3	1	3	2
48	6	2	2	3	2	3	3
49	7	2	2	1	1	2	2
50	7	2	2	3	2	3	3
51	7	2	2	2	1	2	3
52	7	2	2	1	1	2	1
53	7	2	2	3	1	3	1
54	7	2	2	3	1	3	3
55	7	2	2	3	1	2	2
56	7	2	2	2	3	2	3
57	8	1	1	1	1	1	1
58	8	1	1	2	3	1	2
59	8	2	1	3	2	3	2
60	8	2	1	3	3	3	3
61	8	1	1	1	3	1	1
62	8	1	1	1	2	3	1
63	8	1	1	1	3	1	1
64	8	2	1	2	1	2	3
65	9	2	2	2	2	2	3
66	9	2	2	3	1	3	3
67	9	2	2	3	1	3	1
68	9	1	2	1	1	1	1
69	9	2	2	3	2	3	2
70	9	2	2	3	1	3	3
71	9	2	2	3	2	3	3
72	9	2	2	3	1	3	1
