id	g	t	state	sequence_class	y1	y2
1	1	1	1	2	0.556822273352293	0.232919319628652
2	1	2	1	2	-0.624255044263498	-0.929677432933712
3	1	3	1	2	-0.206815033071333	0.0962420733368308
4	1	4	1	2	1.70157576756903	-0.266085400240572
5	2	1	1	2	-0.602873660380664	0.851210614023821
6	2	2	2	2	1.67139733370988	0.842112811160983
7	2	3	1	2	-0.329527906026401	0.00465438312614885
8	2	4	2	2	1.02785638420915	-1.4351755179427
9	3	1	2	2	1.44602708392381	1.10963629317049
10	3	2	2	2	3.67251329659524	2.31347933318004
11	3	3	1	2	-0.997597869580627	0.642647941338714
12	3	4	1	2	0.268588600456689	1.17221407895028
13	4	1	1	1	-0.413023583633525	-0.720322932261437
14	4	2	1	1	0.00203304500239325	0.872874148199493
15	4	3	1	1	-0.528727961269219	0.0858532394296076
16	4	4	1	1	-1.32902311002705	-0.453009540432322
17	5	1	1	1	0.628403277801107	0.382110796178246
18	5	2	1	1	-0.0538497740439045	-1.62721289492343
19	5	3	1	1	0.221298642530194	0.639825898414517
20	5	4	2	1	0.321343579459236	1.65660248848675
21	6	1	2	2	0.0921703261239644	1.35056857669594
22	6	2	2	2	2.48454803835488	0.919652460255627
23	6	3	2	2	1.87117729529432	1.05325448621695
24	6	4	2	2	1.65326759792024	3.05172335677684
25	7	1	2	1	0.562394673986847	0.690681079501746
26	7	2	2	1	1.82964100471927	2.59042317896344
27	7	3	2	1	3.10087343105812	0.874265112458183
28	7	4	2	1	1.76121347137118	1.54095424711195
29	8	1	1	1	1.06760563423936	0.737292535816876
30	8	2	2	1	0.889294460627489	1.58826706120008
31	8	3	2	1	2.09985516309895	2.03185472244763
32	8	4	2	1	1.62531770776496	2.64623754207845
33	9	1	1	1	-0.101238189158888	1.08255625727861
34	9	2	2	1	1.03860758374514	1.40806422400892
35	9	3	2	1	1.56142156424763	2.28508605441463
36	9	4	2	1	1.97283599957257	1.62197280952036
37	10	1	2	1	1.74867580612839	-0.0113939451137226
38	10	2	2	1	4.06986998987023	2.00424287917897
39	10	3	2	1	1.26653144932764	-0.177678488460816
40	10	4	2	1	1.28127287032136	-1.0514248133275
41	11	1	1	2	0.777381835190927	-0.340101427354882
42	11	2	2	2	0.838433821916692	1.14280093910777
43	11	3	2	2	1.31469650680807	1.65667307269652
44	11	4	1	2	1.54298598492283	0.107798293281263
45	12	1	2	1	3.1791237935468	3.16424811958875
46	12	2	2	1	1.65066405113291	2.06867720637287
47	12	3	2	1	1.18972098972276	1.1565543482142
48	12	4	2	1	3.08176212433314	3.7065842719372
49	13	1	2	1	3.46073059412234	1.84741589358309
50	13	2	2	1	1.90228102651589	1.66395887681369
51	13	3	2	1	1.54977972305975	1.67839809333674
52	13	4	2	1	1.33938486676199	0.0548300452681283
53	14	1	1	1	0.111252587548941	0.174200829633941
54	14	2	2	1	0.576287326440564	1.25750603834962
55	14	3	2	1	2.65199362162534	3.45526655115847
56	14	4	2	1	2.54209287335862	1.90453053105272
57	15	1	2	2	1.33739697825905	1.09608994546422
58	15	2	1	2	-0.0455379575505793	0.227514098020628
59	15	3	1	2	-1.37797083900815	-1.14099662929108
60	15	4	1	2	0.959921233834661	0.334969759368565
61	16	1	2	2	2.51546200667467	1.39224144835657
62	16	2	2	2	1.95186559873878	1.56162742820012
63	16	3	2	2	2.08803472633262	2.58128560970449
64	16	4	1	2	2.55404147624492	-0.172747171958794
65	17	1	2	2	-0.263638247225355	1.72060428051441
66	17	2	2	2	2.08364483454705	0.0571330145163751
67	17	3	2	2	2.37870290174395	1.58095679088375
68	17	4	1	2	1.22744074990821	1.51148408230499
69	18	1	2	1	2.47054539692401	1.56378826503422
70	18	2	2	1	1.97781297475868	2.77969171036683
71	18	3	1	1	0.111921915384331	0.367581201432856
72	18	4	1	1	-0.0889951483601707	-0.0836537861409309
73	19	1	2	2	1.56476019351936	2.13003143649724
74	19	2	2	2	2.23621968147366	0.880182077990762
75	19	3	2	2	1.42741357056025	0.57260587633932
76	19	4	2	2	2.33716731776764	1.3698560697995
77	20	1	1	1	-2.51914162872543	1.47509158278897
78	20	2	1	1	-1.48640766912805	0.0177726364885352
79	20	3	1	1	-0.716174939089587	1.53514726469916
80	20	4	1	1	-0.754079573877399	-0.212645187300849
81	21	1	2	1	2.06793113932741	1.22295012040802
