id	g	browse	lectures	forum_read	forum_post	attendance
1	1	0.73	-0.08	0.3	0.67	0.72
2	1	0.68	0.53	-0.02	-0.55	0.7
3	1	-1.51	-0.51	-0.91	-0.8	-0.97
4	1	0.64	-1.02	-1.62	-1.2	-1.26
5	1	-0.94	-0.37	-0.71	-0.28	-1.52
6	1	-0.36	-0.46	-0.77	-0.43	-1.34
7	1	0.38	-1.85	-0.84	-1.09	-1.12
8	1	-1.44	0.66	-0.67	-1.67	-1
9	1	-0.76	-0.43	-1.04	-0.69	-1.37
10	1	0.26	-0.95	-0.51	-1.89	-1.45
11	1	-0.89	0.29	-0.5	-1.74	-1.06
12	1	-1.15	-1.27	-0.8	-0.65	-0.36
13	1	-0.19	-1.4	-0.9	-1.25	-0.77
14	2	-2.6	-0.84	0.08	-0.84	-1.24
15	2	-1.53	-0.7	-1.12	-0.83	-1.33
16	2	-0.29	-0.14	-0.24	-0.42	-0.26
17	2	-0.26	-0.76	-0.44	-1.52	-1.04
18	2	-2.41	0.41	-1.79	-1.79	-2.29
19	2	-0.51	-1.3	0.06	-0.88	-1.83
20	2	-0.7	-0.11	-0.43	-0.41	-2.12
21	2	-0.82	-0.02	-1.17	0.1	-0.46
22	2	-1.15	-0.57	-1.36	0.26	-0.87
23	2	-0.65	-1.06	-0.97	0.09	-1.91
24	2	-0.61	-0.45	-2.09	-0.66	-1.72
25	2	-1.74	0.24	-1.69	-0.61	-1.43
26	2	-1.56	-0.61	-1.54	-0.09	-0.9
27	3	1.42	0.13	0.49	-0.22	0.91
28	3	-0.3	1.06	0.47	1.23	-0.45
29	3	0.52	1.07	-0.52	1.42	0.41
30	3	1.11	1.25	0.39	1.4	0.37
31	3	1.73	-0.19	0.71	-1.14	0.89
32	3	1.07	0.85	0.85	-0.18	0.39
33	3	0.58	-0.19	-0.67	0.03	0.53
34	3	0.84	0.27	0.04	0.83	1.18
35	3	0.41	-1.22	0	1.13	-0.17
36	3	-0.29	1.45	0.26	0.11	-0.11
37	3	-0.14	-0.61	0.4	-0.33	0.59
38	3	-0.61	0.83	-0.04	-0.11	0.24
39	3	0.18	-1.05	-0.09	0.6	1.41
40	3	0.71	-0.01	1.3	1	1.11
41	4	1.77	0.79	-0.11	0.55	1.51
42	4	-0.36	-0.74	0.71	0.68	0.06
43	4	0.42	1.81	0.93	-0.21	0.89
44	4	0.45	0.63	0.51	0.54	0.88
45	4	-0.11	-0.38	1.23	1.15	0.5
46	4	0.33	0.9	-0.05	0.74	-0.57
47	4	1.2	0.62	0.5	0.78	-0.17
48	4	0.23	0.95	1.57	1.07	0.48
49	4	0.33	-0.21	0.94	0.58	0.58
50	4	-0.36	0.9	0.89	0.87	1.48
51	4	0.59	1.86	0.7	-0.57	0.59
52	4	0.89	1.19	-0.47	-0.18	0.46
53	4	1.63	0.87	-0.3	0.3	0.21
54	5	0.05	0.17	-1.22	-0.11	0.32
55	5	0.21	-2.06	-0.62	-1.06	-0.66
56	5	0.34	-0.91	-0.58	-0.94	0.4
57	5	-1.13	-0.35	-0.4	-0.99	-0.13
58	5	-0.79	-0.27	-1.06	-1.43	-0.81
59	5	-0.86	0.07	-0.11	-1.6	0.5
60	5	-0.66	-1.8	-1.84	-1.29	-1.69
