g	y1	y2	y3	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
1	1.77557717506449	2.05758909744307	0.784001444778665	1	1	    0.998227	  0.00177278	1	    0.997529	  0.00247147	1	    0.997643	  0.00235711	    0.933133	   0.0668666
1	1.56260214409994	2.78723986183483	1.08362800532413	2	1	    0.998227	  0.00177278	1	    0.998993	  0.00100705	1	    0.999041	 0.000958615	    0.971721	    0.028279
1	1.32776845840738	0.249122281330722	-2.48184320500485	3	1	    0.998227	  0.00177278	1	    0.526469	    0.473531	1	    0.527341	    0.472659	   0.0354807	    0.964519
1	1.53152212697455	1.33538046354476	1.09529009741748	4	1	    0.998227	  0.00177278	1	    0.990359	  0.00964054	1	    0.990735	  0.00926525	    0.779037	    0.220963
1	0.660042273715528	1.87593032332565	2.61216218943337	5	1	    0.998227	  0.00177278	1	    0.992081	  0.00791933	1	    0.992401	   0.0075987	    0.811538	    0.188462
1	1.66543272776861	-0.795117587763548	0.238961185229975	6	1	    0.998227	  0.00177278	1	    0.814483	    0.185517	1	    0.815703	    0.184297	    0.127348	    0.872652
1	0.538949952138077	-0.137800929733305	0.839704393991894	7	1	    0.998227	  0.00177278	1	    0.565509	    0.434491	1	     0.56644	     0.43356	   0.0412977	    0.958702
1	0.999384763413126	1.88560944553046	-1.08461906907179	8	1	    0.998227	  0.00177278	1	    0.929879	   0.0701209	1	    0.930984	   0.0690162	    0.307845	    0.692155
1	2.34148932892614	0.565185522123232	-0.152629517644084	9	1	    0.998227	  0.00177278	1	    0.988622	    0.011378	1	    0.989048	   0.0109517	    0.748595	    0.251405
1	0.941372668697316	2.76122751202516	-1.04627067832703	10	1	    0.998227	  0.00177278	1	    0.978801	   0.0211993	1	    0.979454	   0.0205464	    0.611161	    0.388839
2	-0.0415993014090398	-1.41431078108456	-2.06910956617001	11	2	   0.0108456	    0.989154	2	 0.000434667	    0.999565	2	  0.00992943	    0.990071	 0.000330562	    0.999669
2	0.70717232317503	1.34302084580317	1.67683640493348	12	2	   0.0108456	    0.989154	2	    0.488147	    0.511853	2	    0.965899	   0.0341013	    0.482909	    0.517091
2	-0.893863996540352	-0.3156018612983	-1.32793614648867	13	2	   0.0108456	    0.989154	2	 0.000473876	    0.999526	2	    0.010818	    0.989182	 0.000360457	     0.99964
2	2.5419091980679	2.17970067327498	1.45411991131624	14	2	   0.0108456	    0.989154	2	    0.994639	  0.00536079	1	     0.99982	 0.000179567	    0.994582	   0.0054176
2	2.96963598454945	0.984866180340332	1.68502054635281	15	2	   0.0108456	    0.989154	2	    0.991214	  0.00878598	1	    0.999705	 0.000295292	    0.991121	  0.00887908
2	-0.244988917948808	1.24719131721444	-1.17098379827154	16	2	   0.0108456	    0.989154	2	   0.0143118	    0.985688	2	    0.262373	    0.737627	    0.011592	    0.988408
2	0.860180084424709	-0.314646516836174	-0.821140032892981	17	2	   0.0108456	    0.989154	2	   0.0226374	    0.977363	2	    0.368152	    0.631848	    0.018849	    0.981151
2	-0.675843952185185	-1.57180403556226	-1.26479622634489	18	2	   0.0108456	    0.989154	2	 0.000174838	    0.999825	2	   0.0040113	    0.995989	 0.000132773	    0.999867
