g	c1	c2	c3	c4	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
1	1	3	2	2	1	1	   0.0180888	    0.981911	2	    0.987116	   0.0128842	1	    0.873575	    0.126425	    0.989207	   0.0107926
1	1	2	3	1	2	1	   0.0180888	    0.981911	2	    0.954804	   0.0451956	1	      0.6469	      0.3531	    0.960477	   0.0395234
1	2	2	1	3	3	1	   0.0180888	    0.981911	2	    0.796168	    0.203832	1	    0.239012	    0.760988	    0.806432	    0.193568
1	1	3	1	2	4	1	   0.0180888	    0.981911	2	    0.998845	  0.00115527	1	    0.987574	   0.0124257	    0.999052	  0.00094765
1	1	3	1	1	5	1	   0.0180888	    0.981911	2	    0.999927	 7.32775e-05	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
1	1	3	1	1	6	1	   0.0180888	    0.981911	2	    0.999927	 7.32775e-05	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
1	3	2	3	3	7	1	   0.0180888	    0.981911	2	   0.0152041	    0.984796	2	   0.0011826	    0.998817	   0.0154624	    0.984538
1	2	2	3	1	8	1	   0.0180888	    0.981911	2	    0.750269	    0.249731	1	    0.193177	    0.806823	    0.760532	    0.239468
2	2	2	1	1	9	2	    0.146767	    0.853233	2	    0.981426	   0.0185741	1	    0.914259	   0.0857411	     0.99298	  0.00702049
2	3	1	3	2	10	2	    0.146767	    0.853233	2	  0.00948586	    0.990514	2	 0.000835783	    0.999164	   0.0109738	    0.989026
2	1	3	3	1	11	2	    0.146767	    0.853233	2	    0.992704	  0.00729606	1	    0.965777	   0.0342227	    0.997336	  0.00266432
2	3	2	3	3	12	2	    0.146767	    0.853233	2	   0.0133666	    0.986633	2	   0.0011826	    0.998817	   0.0154624	    0.984538
2	1	3	1	1	13	2	    0.146767	    0.853233	2	    0.999832	 0.000167864	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
2	2	3	1	2	14	2	    0.146767	    0.853233	2	    0.980963	   0.0190374	1	    0.912179	   0.0878205	    0.992794	  0.00720581
2	3	1	2	3	15	2	    0.146767	    0.853233	2	   0.0169596	     0.98304	2	  0.00150628	    0.998494	   0.0196177	    0.980382
