g	y1	y2	c1	c2	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
1	1.45563759525093	1.6151482942619	1	2	1	1	    0.999949	 5.13955e-05	1	    0.661882	    0.338118	1	     0.66191	     0.33809	     0.11611	     0.88389
1	0.25266971271718	0.0533173903205514	1	3	2	1	    0.999949	 5.13955e-05	1	    0.999649	 0.000350645	1	     0.99965	 0.000350396	    0.994803	  0.00519687
1	0.727982059664831	0.0666096808289879	1	3	3	1	    0.999949	 5.13955e-05	1	    0.999023	 0.000976755	1	    0.999024	 0.000976068	    0.985648	   0.0143522
1	-1.81217314465458	-1.52265135398594	3	3	4	1	    0.999949	 5.13955e-05	1	    0.999968	 3.24982e-05	1	    0.999968	  3.2475e-05	    0.999516	 0.000483778
1	-0.46536904345741	1.2072700050792	1	3	5	1	    0.999949	 5.13955e-05	1	    0.999631	 0.000368951	1	    0.999631	 0.000368689	    0.994533	  0.00546679
1	1.47803055506653	1.21184931630099	1	3	6	1	    0.999949	 5.13955e-05	1	    0.977631	   0.0223687	1	    0.977643	   0.0223568	    0.745813	    0.254187
1	2.10198996483918	1.80711800213401	1	3	7	1	    0.999949	 5.13955e-05	1	    0.831106	    0.168894	1	    0.831136	    0.168864	    0.248261	    0.751739
1	0.233371686407237	0.513687210996708	2	3	8	1	    0.999949	 5.13955e-05	1	    0.995234	  0.00476586	1	    0.995237	  0.00476268	    0.933427	   0.0665731
1	-0.920429076600078	1.11646418223458	2	1	9	1	    0.999949	 5.13955e-05	1	    0.909915	   0.0900849	1	    0.909941	   0.0900589	    0.404032	    0.595968
1	0.622433155568352	-0.364014158655884	1	2	10	1	    0.999949	 5.13955e-05	1	    0.994076	  0.00592422	1	     0.99408	  0.00592033	    0.918476	   0.0815241
2	2.93417556215999	2.18230582682746	3	2	11	2	 0.000579245	    0.999421	2	 4.68399e-05	    0.999953	2	 0.000692067	    0.999308	  4.6466e-05	    0.999954
