g	x	w	y1	y2	y3	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
1	0.376400673764322	0.64719224218726	1.77557717506449	2.05758909744307	0.784001444778665	1	1	  0.00195699	    0.998043	2	  0.00252099	    0.997479	2	   0.0678917	    0.932108	  0.00239281	    0.997607
1	1.27916751287524	0.64719224218726	1.56260214409994	2.78723986183483	1.08362800532413	2	1	  0.00195699	    0.998043	2	  0.00105167	    0.998948	2	    0.029389	    0.970611	 0.000996105	    0.999004
1	1.00634150067399	0.64719224218726	1.32776845840738	0.249122281330722	-2.48184320500485	3	1	  0.00195699	    0.998043	2	    0.482365	    0.517635	2	    0.965743	   0.0342575	    0.481417	    0.518583
1	0.238824224825139	0.64719224218726	1.53152212697455	1.33538046354476	1.09529009741748	4	1	  0.00195699	    0.998043	2	  0.00980426	    0.990196	2	    0.223425	    0.776575	  0.00938538	    0.990615
1	-0.495317086021373	0.64719224218726	0.660042273715528	1.87593032332565	2.61216218943337	5	1	  0.00195699	    0.998043	2	  0.00779763	    0.992202	2	    0.185602	    0.814398	  0.00744899	    0.992551
1	-1.09345076510966	0.64719224218726	1.66543272776861	-0.795117587763548	0.238961185229975	6	1	  0.00195699	    0.998043	2	    0.182491	    0.817509	2	    0.870426	    0.129574	    0.181142	    0.818858
1	0.332403780012204	0.64719224218726	0.538949952138077	-0.137800929733305	0.839704393991894	7	1	  0.00195699	    0.998043	2	    0.438088	    0.561912	2	    0.959312	   0.0406881	    0.437066	    0.562934
1	0.112673395072611	0.64719224218726	0.999384763413126	1.88560944553046	-1.08461906907179	8	1	  0.00195699	    0.998043	2	   0.0701826	    0.929817	2	    0.692243	    0.307757	   0.0689628	    0.931037
1	0.211634867804967	0.64719224218726	2.34148932892614	0.565185522123232	-0.152629517644084	9	1	  0.00195699	    0.998043	2	   0.0116479	    0.988352	2	    0.255415	    0.744585	   0.0111699	     0.98883
1	0.643550325128351	0.64719224218726	0.941372668697316	2.76122751202516	-1.04627067832703	10	1	  0.00195699	    0.998043	2	   0.0214873	    0.978513	2	    0.391665	    0.608335	   0.0207614	    0.979239
2	-0.785208763294229	0.734065688022373	-0.0415993014090398	-1.41431078108456	-2.06910956617001	11	2	     0.99119	  0.00880994	1	    0.999574	 0.000426405	1	    0.999661	 0.000339473	    0.989793	    0.010207
2	0.890170648053565	0.734065688022373	0.70717232317503	1.34302084580317	1.67683640493348	12	2	     0.99119	  0.00880994	1	    0.520006	    0.479994	1	    0.524317	    0.475683	   0.0350259	    0.964974
2	0.883894865703757	0.734065688022373	-0.893863996540352	-0.3156018612983	-1.32793614648867	13	2	     0.99119	  0.00880994	1	    0.999555	 0.000445098	1	    0.999646	 0.000354387	    0.989349	   0.0106508
2	-2.02937194922012	0.734065688022373	2.5419091980679	2.17970067327498	1.45411991131624	14	2	     0.99119	  0.00880994	1	  0.00507822	    0.994922	2	  0.00512185	    0.994878	 0.000169505	     0.99983
2	1.36391327008944	0.734065688022373	2.96963598454945	0.984866180340332	1.68502054635281	15	2	     0.99119	  0.00880994	1	  0.00935726	    0.990643	2	  0.00943764	    0.990562	 0.000313648	    0.999686
2	-0.456029540071045	0.734065688022373	-0.244988917948808	1.24719131721444	-1.17098379827154	16	2	     0.99119	  0.00880994	1	    0.985856	   0.0141441	1	    0.988109	    0.011891	    0.732364	    0.267636
2	0.547429721011428	0.734065688022373	0.860180084424709	-0.314646516836174	-0.821140032892981	17	2	     0.99119	  0.00880994	1	    0.978548	   0.0214517	1	    0.981584	   0.0184164	    0.637047	    0.362953
2	-1.09054717600287	0.734065688022373	-0.675843952185185	-1.57180403556226	-1.26479622634489	18	2	     0.99119	  0.00880994	1	    0.999826	 0.000173892	1	    0.999862	 0.000138268	    0.995818	  0.00418181
2	0.0109107993926866	0.734065688022373	-0.500043688364124	-1.26594149641929	-1.04917271853916	19	2	     0.99119	  0.00880994	1	    0.999613	 0.000387175	1	    0.999692	 0.000308182	    0.990725	  0.00927462
2	-0.253604488666482	0.734065688022373	3.83203289065985	3.64420594228033	1.29275434918373	20	2	     0.99119	  0.00880994	1	  2.1695e-05	    0.999978	2	 2.18815e-05	    0.999978	 7.20582e-07	    0.999999
3	-0.990669315035562	0.654760223993322	1.67072773662179	1.65161488678851	0.951523444190324	21	3	 0.000780533	    0.999219	2	  0.00476853	    0.995231	2	    0.124822	    0.875178	  0.00467475	    0.995325
3	0.0111248422053374	0.654760223993322	2.26130788662471	2.23762745343473	2.59323665876186	22	3	 0.000780533	    0.999219	2	  0.00011992	     0.99988	2	  0.00354807	    0.996452	 0.000117242	    0.999883
