g	y1	y2	id	t	State#1	State#2	State#	joint5_1_1	joint5_1_2	joint5_2_1	joint5_2_2
1	0.556822273352293	0.232919319628652	1	1	   0.0600088	    0.939991	2	         nan	         nan	         nan	         nan
1	-0.624255044263498	-0.929677432933712	2	2	 0.000564524	    0.999435	2	   0.0031597	     0.99684	 0.000398849	    0.999601
1	-0.206815033071333	0.0962420733368308	3	3	   0.0130055	    0.986995	2	   0.0944503	     0.90555	   0.0129595	    0.987041
1	1.70157576756903	-0.266085400240572	4	4	    0.230326	    0.769674	2	    0.696557	    0.303443	    0.224183	    0.775817
2	-0.602873660380664	0.851210614023821	5	1	   0.0866359	    0.913364	2	         nan	         nan	         nan	         nan
2	1.67139733370988	0.842112811160983	6	2	    0.465166	    0.534834	2	    0.856038	    0.143962	     0.42809	     0.57191
2	-0.329527906026401	0.00465438312614885	7	3	   0.0151987	    0.984801	2	   0.0284509	    0.971549	  0.00367279	    0.996327
2	1.02785638420915	-1.4351755179427	8	4	  0.00979747	    0.990203	2	   0.0667199	     0.93328	  0.00891897	    0.991081
3	1.44602708392381	1.10963629317049	9	1	    0.934513	   0.0654873	1	         nan	         nan	         nan	         nan
3	3.67251329659524	2.31347933318004	10	2	    0.999763	 0.000236653	1	    0.999837	 0.000162743	    0.998709	  0.00129136
3	-0.997597869580627	0.642647941338714	11	3	   0.0628545	    0.937146	2	   0.0628674	    0.937133	  0.00837402	    0.991626
3	0.268588600456689	1.17221407895028	12	4	    0.237517	    0.762483	2	     0.67612	     0.32388	      0.2081	      0.7919
4	-0.413023583633525	-0.720322932261437	13	1	  0.00223116	    0.997769	2	         nan	         nan	         nan	         nan
4	0.00203304500239325	0.872874148199493	14	2	   0.0317216	    0.968278	2	    0.204442	    0.795558	   0.0313353	    0.968665
4	-0.528727961269219	0.0858532394296076	15	3	  0.00343507	    0.996565	2	   0.0220194	    0.977981	  0.00282623	    0.997174
4	-1.32902311002705	-0.453009540432322	16	4	  0.00076173	    0.999238	2	  0.00588061	    0.994119	 0.000744085	    0.999256
5	0.628403277801107	0.382110796178246	17	1	     0.08793	     0.91207	2	         nan	         nan	         nan	         nan
5	-0.0538497740439045	-1.62721289492343	18	2	 0.000801091	    0.999199	2	  0.00394354	    0.996056	 0.000498136	    0.999502
5	0.221298642530194	0.639825898414517	19	3	    0.107617	    0.892383	2	    0.488479	    0.511521	    0.107311	    0.892689
5	0.321343579459236	1.65660248848675	20	4	    0.463676	    0.536324	2	    0.850368	    0.149632	    0.417043	    0.582957
6	0.0921703261239644	1.35056857669594	21	1	    0.622579	    0.377421	1	         nan	         nan	         nan	         nan
6	2.48454803835488	0.919652460255627	22	2	    0.986358	   0.0136424	1	    0.996149	  0.00385083	    0.970206	   0.0297942
6	1.87117729529432	1.05325448621695	23	3	    0.989332	   0.0106679	1	    0.990193	  0.00980666	    0.927063	   0.0729371
6	1.65326759792024	3.05172335677684	24	4	    0.998941	  0.00105894	1	    0.999014	 0.000986433	    0.992217	  0.00778289
7	0.562394673986847	0.690681079501746	25	1	    0.543113	    0.456887	1	         nan	         nan	         nan	         nan
7	1.82964100471927	2.59042317896344	26	2	     0.99747	  0.00252966	1	    0.999392	 0.000608481	    0.995187	  0.00481342
7	3.10087343105812	0.874265112458183	27	3	    0.998795	  0.00120504	1	    0.998816	  0.00118443	    0.990668	  0.00933232
7	1.76121347137118	1.54095424711195	28	4	    0.986545	   0.0134553	1	    0.986646	   0.0133544	    0.902916	   0.0970844
8	1.06760563423936	0.737292535816876	29	1	    0.744957	    0.255043	1	         nan	         nan	         nan	         nan
8	0.889294460627489	1.58826706120008	30	2	    0.939362	   0.0606382	1	    0.975516	   0.0244845	     0.83376	     0.16624
8	2.09985516309895	2.03185472244763	31	3	    0.998564	   0.0014361	1	    0.998987	  0.00101297	    0.992009	  0.00799082
8	1.62531770776496	2.64623754207845	32	4	    0.997744	  0.00225558	1	    0.997766	   0.0022337	    0.982527	   0.0174734
9	-0.101238189158888	1.08255625727861	33	1	    0.379355	    0.620645	2	         nan	         nan	         nan	         nan
9	1.03860758374514	1.40806422400892	34	2	    0.882196	    0.117804	1	    0.974164	   0.0258356	    0.825982	    0.174018
9	1.56142156424763	2.28508605441463	35	3	    0.996534	  0.00346567	1	    0.998081	  0.00191927	    0.984954	   0.0150461
9	1.97283599957257	1.62197280952036	36	4	    0.992277	  0.00772343	1	    0.992448	  0.00755205	    0.942996	   0.0570039
10	1.74867580612839	-0.0113939451137226	37	1	    0.764929	    0.235071	1	         nan	         nan	         nan	         nan
10	4.06986998987023	2.00424287917897	38	2	    0.999756	 0.000243525	1	    0.999907	 9.25552e-05	    0.999265	 0.000734784
10	1.26653144932764	-0.177678488460816	39	3	    0.321709	    0.678291	2	    0.321773	    0.678227	   0.0563567	    0.943643
10	1.28127287032136	-1.0514248133275	40	4	   0.0810695	    0.918931	2	    0.191104	    0.808896	   0.0288809	    0.971119
11	0.777381835190927	-0.340101427354882	41	1	    0.152976	    0.847024	2	         nan	         nan	         nan	         nan
11	0.838433821916692	1.14280093910777	42	2	    0.676695	    0.323305	1	    0.931352	   0.0686478	    0.630703	    0.369297
11	1.31469650680807	1.65667307269652	43	3	    0.929899	   0.0701005	1	    0.975599	   0.0244006	    0.834247	    0.165753
11	1.54298598492283	0.107798293281263	44	4	    0.736517	    0.263483	1	    0.769715	    0.230285	    0.296147	    0.703853
12	3.1791237935468	3.16424811958875	45	1	    0.999956	 4.37309e-05	1	         nan	         nan	         nan	         nan
12	1.65066405113291	2.06867720637287	46	2	    0.997228	  0.00277191	1	    0.997229	  0.00277109	    0.978402	   0.0215979
12	1.18972098972276	1.1565543482142	47	3	    0.969275	   0.0307254	1	    0.969741	   0.0302587	    0.801362	    0.198638
12	3.08176212433314	3.7065842719372	48	4	    0.999981	 1.85432e-05	1	    0.999985	 1.52829e-05	    0.999879	 0.000121394
13	3.46073059412234	1.84741589358309	49	1	    0.999715	  0.00028482	1	         nan	         nan	         nan	         nan
13	1.90228102651589	1.66395887681369	50	2	    0.996658	  0.00334193	1	    0.996664	  0.00333551	    0.974103	   0.0258974
13	1.54977972305975	1.67839809333674	51	3	    0.980827	   0.0191729	1	    0.981206	   0.0187944	    0.867933	    0.132067
13	1.33938486676199	0.0548300452681283	52	4	    0.661045	    0.338955	1	    0.669988	    0.330012	    0.203545	    0.796455
14	0.111252587548941	0.174200829633941	53	1	    0.113858	    0.886142	2	         nan	         nan	         nan	         nan
14	0.576287326440564	1.25750603834962	54	2	    0.637041	    0.362959	1	    0.922678	   0.0773222	    0.600341	    0.399659
14	2.65199362162534	3.45526655115847	55	3	    0.999921	 7.85634e-05	1	    0.999978	 2.23196e-05	    0.999823	 0.000177279
14	2.54209287335862	1.90453053105272	56	4	    0.998598	  0.00140197	1	    0.998599	  0.00140121	    0.988976	   0.0110239
15	1.33739697825905	1.09608994546422	57	1	    0.600412	    0.399588	1	         nan	         nan	         nan	         nan
15	-0.0455379575505793	0.227514098020628	58	2	   0.0426961	    0.957304	2	   0.0653087	    0.934691	   0.0087189	    0.991281
15	-1.37797083900815	-1.14099662929108	59	3	  0.00018866	    0.999811	2	  0.00115512	    0.998845	 0.000145556	    0.999854
