"variance_model","quantity","absolute_difference"
"varying","log_likelihood",4.44257038907381e-05
"varying","means",5.04648656196593e-08
"varying","variances",4.81145944197792e-08
"varying","profile_probabilities",5.11748787790367e-09
"varying","group_probabilities",2.55866050569153e-10
"varying","subject_posteriors",1.16069820421671e-10
"varying","group_posteriors",5.07749398082069e-12
"varying","aic",1.11485924207955e-05
"varying","bic_individual",3.40449450959568e-05
"equal","log_likelihood",2.61259128819802e-06
"equal","means",3.00773788097786e-08
"equal","variances",1.31843845285751e-08
"equal","profile_probabilities",3.30589569608186e-09
"equal","group_probabilities",9.25881593616396e-12
"equal","subject_posteriors",1.68686176138522e-10
"equal","group_posteriors",7.87814258274011e-13
"equal","aic",5.22518257639604e-06
"equal","bic_individual",1.37031975100399e-05
